,animal_id,animal_name,experiment_id,sex,gene,age,plane_of_section,treatment,probe_orientation,sleep_state
0,702626,2112,71,Male,9130024F11Rik,P56,coronal,ISH,2,Nothing
1,1480,343-1600,100021318,Male,Ecm1,P56,variable,ISH,2,Nothing
2,2487,343-2066,100021203,Male,Eif3d,P4,variable,ISH,2,Nothing
3,606,343-1226,100011479,Male,Ahctf1,P56,variable,ISH,2,Nothing
4,703691,350-9340,100093643,Male,Hoxa3,P14,coronal,ISH,2,Nothing
5,586,343-1193,100010510,Male,Guca1a,P56,variable,ISH,2,Nothing
6,376,343-1125,100004837,Male,Ormdl3,P56,variable,ISH,2,Nothing
7,702576,2040,609,Male,Kcnj6,P56,coronal,ISH,2,Nothing
8,702572,2036,1065,Male,Tnni3,P56,coronal,ISH,2,Nothing
9,71571392,05-3211,73756135,Male,Nothing,P56,coronal,NISSL,Nothing,Nothing
10,702822,2385,1982,Male,Klhl24,P56,coronal,ISH,2,Nothing
11,702618,2099,2179,Male,Ei24,P56,coronal,ISH,2,Nothing
12,702484,1900,2230,Male,Foxg1,P56,coronal,ISH,2,Nothing
13,2037,343-1837,100016730,Male,Stkld1,P4,variable,ISH,2,Nothing
14,1420,343-1617,100012336,Male,Tmem129,P4,variable,ISH,2,Nothing
15,149367,04-0378,67752116,Male,Vtn,P56,coronal,ISH,2,Nothing
16,1750,343-1735,100013383,Male,Tmem119,P4,variable,ISH,2,Nothing
17,2797,343-2188,100025688,Male,Gm11545,P4,variable,ISH,2,Nothing
18,72010463,05-3364,73992915,Male,Pard3,P56,coronal,ISH,2,Nothing
19,72147825,05-3407,74047901,Male,Fam213b,P56,coronal,ISH,2,Nothing
20,1922,343-1781,100028836,Male,Nek9,P56,variable,ISH,2,Nothing
21,74833327,06-0301,74988756,Male,LOC381742,P56,coronal,ISH,2,Nothing
22,74899350,06-0346,75144618,Male,Tspan2,P56,coronal,ISH,2,Nothing
23,77281698,07-0027,77413692,Male,Il4ra,P56,coronal,ISH,2,Nothing
24,77561820,07-0122,77887858,Male,Psg16,P56,coronal,ISH,2,Nothing
25,3786,343-2470,100050907,Male,Pithd1,P56,variable,ISH,2,Nothing
26,79398731,335-1185,79907936,Male,Cxcl12,P56,coronal,ISH,2,Nothing
27,541,343-1189,100005543,Male,Galnt1,P56,variable,ISH,2,Nothing
28,1087,343-1429,100007346,Male,Rnf112,P4,variable,ISH,2,Nothing
29,481,343-1167,100008074,Male,Zdhhc5,P56,variable,ISH,2,Nothing
30,466,343-1161,100008592,Male,Cs,P56,variable,ISH,2,Nothing
31,586,343-1193,100010552,Male,Cyb561d2,P56,variable,ISH,2,Nothing
