,animal_id,animal_name,experiment_id,sex,gene,age,plane_of_section,treatment
0,700674,350-6458,100092551,Male,Isl1,2.0,coronal,ISH
1,710945,310-1477,112646890,Male,Nr2f2,56.0,coronal,ISH
2,71035669,05-2793,71836747,Male,Tbc1d8,56.0,coronal,ISH
3,71019378,05-2774,71717451,Male,Kcng3,56.0,coronal,ISH
4,702794,2347,2480,Male,Phox2b,56.0,coronal,ISH
5,71903222,05-3298,73929578,Male,Thbs2,56.0,coronal,ISH
6,702831,2395,2107,Male,Cldn12,56.0,coronal,ISH
7,71035725,05-2807,71836810,Male,Acsl6,56.0,coronal,ISH
8,702795,2348,2493,Male,Pomc,56.0,coronal,ISH
9,702587,2052,1510,Male,Mtf2,56.0,coronal,ISH
10,72498,04-0145,227164,Male,Oit1,56.0,coronal,ISH
11,71935626,05-3308,73992712,Male,Tmem200a,56.0,coronal,ISH
12,702831,2395,1713,Male,Gpr171,56.0,coronal,ISH
13,703635,350-9486,100091591,unknown,Neurod1,11.5,coronal,ISH
14,703635,350-9486,100091590,unknown,Satb2,11.5,coronal,ISH
15,703635,350-9486,100091550,unknown,Eomes,11.5,coronal,ISH
16,701943,350-8371,100091533,unknown,Lhx8,13.5,coronal,ISH
17,701943,350-8371,100091531,unknown,Tcf7l2,13.5,coronal,ISH
18,703635,350-9486,100091548,unknown,Cdhr1,11.5,coronal,ISH
19,701943,350-8371,100091530,unknown,Irs4,13.5,coronal,ISH
20,701960,350-8382,100092553,Male,Tcf7l2,2.0,coronal,ISH
21,6830,350-6257,100091583,unknown,Pcdh20,14.5,coronal,ISH
22,7017,350-6371,100092082,Male,Nr5a1,1.0,coronal,ISH
23,701943,350-8371,100091529,unknown,Rspo3,13.5,coronal,ISH
24,701943,350-8371,100091563,unknown,Gbx2,13.5,coronal,ISH
25,6422,350-5676,100059233,Male,Slc6a4,0.0,coronal,ISH
26,6422,350-5676,100059234,Male,Wnt2,0.0,coronal,ISH
27,6422,350-5676,100059232,Male,Etv1,0.0,coronal,ISH
28,6424,350-5683,100059248,Male,Foxp1,0.0,coronal,ISH
29,6424,350-5683,100059246,Male,Fezf2,0.0,coronal,ISH
30,6424,350-5683,100059249,Male,Calb1,0.0,coronal,ISH
31,6838,350-6231,100091988,Male,Irs4,1.0,coronal,ISH
